日期	收盘	开盘	高	低	涨跌幅
2008年2月24日	3.699	3.699	3.699	3.699	-5.11%
2008年2月17日	3.898	3.898	3.898	3.898	4.78%
2008年2月10日	3.72	3.72	3.72	3.72	-8.73%
2008年2月3日	4.076	4.076	4.076	4.076	0.05%
2008年1月27日	4.074	4.074	4.074	4.074	1.82%
2008年1月20日	4.001	4.001	4.001	4.001	-2.46%
2008年1月13日	4.102	4.102	4.102	4.102	1.28%
2008年1月6日	4.05	4.05	4.05	4.05	-0.74%
2007年12月30日	4.08	4.08	4.08	4.08	-0.32%
2007年12月23日	4.093	4.093	4.093	4.093	0.91%
2007年12月16日	4.056	4.056	4.056	4.056	0.07%
2007年12月9日	4.053	4.053	4.053	4.053	-2.60%
2007年12月2日	4.161	4.161	4.161	4.161	0.10%
2007年11月25日	4.157	4.157	4.157	4.157	-3.44%
2007年11月18日	4.305	4.305	4.305	4.305	7.62%
2007年11月11日	4	4	4	4	1.81%
2007年11月4日	3.929	3.929	3.929	3.929	1.95%
2007年10月28日	3.854	3.854	3.854	3.854	-0.21%
2007年10月21日	3.862	3.862	3.862	3.862	2.69%
2007年10月14日	3.761	3.761	3.761	3.761	2.15%
2007年10月7日	3.682	3.682	3.682	3.682	-1.76%
2007年9月30日	3.748	3.748	3.748	3.748	5.46%
2007年9月23日	3.554	3.554	3.554	3.554	-2.76%
2007年9月16日	3.655	3.655	3.655	3.655	2.96%
2007年9月9日	3.55	3.55	3.55	3.55	-1.06%
2007年9月2日	3.588	3.588	3.588	3.588	1.10%
2007年8月26日	3.549	3.549	3.549	3.549	3.02%
2007年8月19日	3.445	3.445	3.445	3.445	-3.53%
2007年8月12日	3.571	3.571	3.571	3.571	2.61%
2007年8月5日	3.48	3.48	3.48	3.48	-4.66%
2007年7月29日	3.65	3.65	3.65	3.65	2.24%
2007年7月22日	3.57	3.57	3.57	3.57	-3.72%
2007年7月15日	3.708	3.708	3.708	3.708	5.73%
2007年7月8日	3.507	3.507	3.507	3.507	-1.21%
2007年7月1日	3.55	3.55	3.55	3.55	0.48%
2007年6月24日	3.533	3.533	3.533	3.533	-0.48%
2007年6月17日	3.55	3.55	3.55	3.55	4.41%
2007年6月10日	3.4	3.4	3.4	3.4	6.22%
2007年6月3日	3.201	3.201	3.201	3.201	0.66%
2007年5月27日	3.18	3.18	3.18	3.18	5.12%
2007年5月20日	3.025	3.025	3.025	3.025	0.13%
2007年5月13日	3.021	3.021	3.021	3.021	0.67%
2007年5月6日	3.001	3.001	3.001	3.001	0.10%
2007年4月29日	2.998	2.998	2.998	2.998	3.31%
2007年4月22日	2.902	2.902	2.902	2.902	-12.59%
2007年4月15日	3.32	3.32	3.32	3.32	19.42%
2007年4月8日	2.78	2.78	2.78	2.78	7.01%
2007年4月1日	2.598	2.598	2.598	2.598	1.68%
2007年3月25日	2.555	2.555	2.555	2.555	-0.85%
2007年3月18日	2.577	2.577	2.577	2.577	-1.34%
2007年3月11日	2.612	2.612	2.612	2.612	4.48%
2007年3月4日	2.5	2.5	2.5	2.5	0.85%
2007年2月25日	2.479	2.479	2.479	2.479	0.73%
2007年2月18日	2.461	2.461	2.461	2.461	0.00%
2007年2月11日	2.461	2.461	2.461	2.461	0.04%
2007年2月4日	2.46	2.46	2.46	2.46	-0.81%
2007年1月28日	2.48	2.48	2.48	2.48	3.20%
2007年1月21日	2.403	2.403	2.403	2.403	2.65%
2007年1月14日	2.341	2.341	2.341	2.341	-1.64%
2007年1月7日	2.38	2.38	2.38	2.38	-1.65%
2006年12月31日	2.42	2.42	2.42	2.42	-1.67%
2006年12月24日	2.461	2.461	2.461	2.461	1.90%
2006年12月17日	2.415	2.415	2.415	2.415	1.60%
2006年12月10日	2.377	2.377	2.377	2.377	-0.92%
2006年12月3日	2.399	2.399	2.399	2.399	-3.65%
2006年11月26日	2.49	2.49	2.49	2.49	1.55%
2006年11月19日	2.452	2.452	2.452	2.452	3.55%
2006年11月12日	2.368	2.368	2.368	2.368	-17.35%
2004年2月29日	2.865	2.865	2.865	2.865	1.20%
2004年1月11日	2.831	2.831	2.831	2.831	-1.32%
2004年1月4日	2.869	2.869	2.869	2.869	14.21%
2003年12月7日	2.512	2.512	2.512	2.512	0.00%
2003年11月23日	2.512	2.512	2.512	2.512	0.00%
2003年11月16日	2.512	2.512	2.512	2.512	-13.05%
2003年11月9日	2.889	2.889	2.889	2.889	15.01%
2003年10月19日	2.512	2.512	2.512	2.512	-16.10%
2003年10月12日	2.994	2.994	2.994	2.994	25.32%
2003年10月5日	2.389	2.389	2.389	2.389	1.66%
2003年9月28日	2.35	2.35	2.35	2.35	-2.08%
2003年9月21日	2.4	2.4	2.4	2.4	0.33%
2003年9月14日	2.392	2.392	2.392	2.392	-3.16%
2003年9月7日	2.47	2.47	2.47	2.47	3.65%
2003年8月31日	2.383	2.383	2.383	2.383	-0.63%
2003年8月24日	2.398	2.398	2.398	2.398	0.76%
2003年8月17日	2.38	2.38	2.38	2.38	8.58%
2003年8月10日	2.192	2.192	2.192	2.192	-8.21%
2003年8月3日	2.388	2.388	2.388	2.388	-0.17%
2003年7月27日	2.392	2.392	2.392	2.392	-1.36%
2003年7月20日	2.425	2.425	2.425	2.425	0.46%
2003年7月13日	2.414	2.414	2.414	2.414	0.17%
2003年7月6日	2.41	2.41	2.41	2.41	1.43%
2003年6月29日	2.376	2.376	2.376	2.376	-1.94%
2003年6月22日	2.423	2.423	2.423	2.423	-16.19%
2003年6月15日	2.891	2.891	2.891	2.891	18.19%
2003年6月8日	2.446	2.446	2.446	2.446	4.13%
2003年6月1日	2.349	2.349	2.349	2.349	9.00%
2003年5月25日	2.155	2.155	2.155	2.155	-0.09%
2003年5月18日	2.157	2.157	2.157	2.157	-6.95%
2003年5月4日	2.318	2.318	2.318	2.318	1.58%
2003年4月27日	2.282	2.282	2.282	2.282	-4.84%
2003年4月20日	2.398	2.398	2.398	2.398	6.11%
2003年4月13日	2.26	2.26	2.26	2.26	-44.78%
2003年4月6日	4.093	4.093	4.093	4.093	75.06%
2003年3月30日	2.338	2.338	2.338	2.338	0.95%
2003年3月23日	2.316	2.316	2.316	2.316	-0.73%
2003年3月16日	2.333	2.333	2.333	2.333	-0.72%
2003年3月9日	2.35	2.35	2.35	2.35	0.21%
2003年3月2日	2.345	2.345	2.345	2.345	-0.30%
2003年2月23日	2.352	2.352	2.352	2.352	0.34%
2003年2月16日	2.344	2.344	2.344	2.344	-3.06%
2003年2月9日	2.418	2.418	2.418	2.418	2.33%
2003年1月26日	2.363	2.363	2.363	2.363	-4.83%
2002年12月29日	2.483	2.483	2.483	2.483	4.99%
2002年12月22日	2.365	2.365	2.365	2.365	-1.95%
2002年12月15日	2.412	2.412	2.412	2.412	0.00%
2002年12月8日	2.412	2.412	2.412	2.412	-2.11%
2002年12月1日	2.464	2.464	2.464	2.464	6.76%
2002年11月24日	2.308	2.308	2.308	2.308	-4.19%
2002年11月10日	2.409	2.409	2.409	2.409	-2.43%
2002年11月3日	2.469	2.469	2.469	2.469	7.39%
2002年10月27日	2.299	2.299	2.299	2.299	0.00%
2002年10月20日	2.299	2.299	2.299	2.299	-2.46%
2002年10月13日	2.357	2.357	2.357	2.357	0.47%
2002年10月6日	2.346	2.346	2.346	2.346	2.00%
2002年9月29日	2.3	2.3	2.3	2.3	-1.08%
2002年9月22日	2.325	2.325	2.325	2.325	3.24%
2002年9月8日	2.252	2.252	2.252	2.252	8.17%
2002年9月1日	2.082	2.082	2.082	2.082	0.48%
2002年8月25日	2.072	2.072	2.072	2.072	-0.43%
2002年8月18日	2.081	2.081	2.081	2.081	1.17%
2002年8月11日	2.057	2.057	2.057	2.057	8.38%
2002年7月28日	1.898	1.898	1.898	1.898	-6.73%
2002年7月21日	2.035	2.035	2.035	2.035	3.72%
2002年7月14日	1.962	1.962	1.962	1.962	3.21%
2002年7月7日	1.901	1.901	1.901	1.901	-1.40%
2002年6月30日	1.928	1.928	1.928	1.928	-16.97%
2002年4月7日	2.322	2.322	2.322	2.322	57.32%
2002年3月31日	1.476	1.476	1.476	1.476	0.00%
2002年3月17日	1.476	1.476	1.476	1.476	0.00%
2002年3月10日	1.476	1.476	1.476	1.476	0.00%
2002年3月3日	1.476	1.476	1.476	1.476	0.00%
2002年2月24日	1.476	1.476	1.476	1.476	0.00%
2002年2月17日	1.476	1.476	1.476	1.476	0.00%
2002年2月10日	1.476	1.476	1.476	1.476	0.00%
2002年1月27日	1.476	1.476	1.476	1.476	-3.21%
2002年1月20日	1.525	1.525	1.525	1.525	0.00%
2002年1月6日	1.525	1.525	1.525	1.525	-4.81%
2001年12月16日	1.602	1.602	1.602	1.602	-9.44%
2001年12月2日	1.769	1.769	1.769	1.769	-3.07%
2001年11月18日	1.825	1.825	1.825	1.825	-28.74%
2001年11月11日	2.561	2.561	2.561	2.561	-10.95%
2001年3月4日	2.876	2.876	2.876	2.876	0.98%
2001年2月25日	2.848	2.848	2.848	2.848	-2.20%
2001年2月18日	2.912	2.912	2.912	2.912	-0.58%
2001年2月11日	2.929	2.929	2.929	2.929	1.28%
2001年2月4日	2.892	2.892	2.892	2.892	3.62%
2001年1月28日	2.791	2.791	2.791	2.791	-5.84%
2001年1月14日	2.964	2.964	2.964	2.964	11.51%
2000年12月31日	2.658	2.658	2.658	2.658	-4.56%
2000年12月24日	2.785	2.785	2.785	2.785	7.32%
2000年12月17日	2.595	2.595	2.595	2.595	110.46%
2000年12月10日	1.233	1.233	1.233	1.233	-56.92%
2000年12月3日	2.862	2.862	2.862	2.862	0.60%
2000年11月26日	2.845	2.845	2.845	2.845	0.42%
2000年11月19日	2.833	2.833	2.833	2.833	8.25%
2000年11月12日	2.617	2.617	2.617	2.617	0.00%
2000年11月5日	2.617	2.617	2.617	2.617	-2.24%
2000年10月29日	2.677	2.677	2.677	2.677	69.32%
2000年10月22日	1.581	1.581	1.581	1.581	0.44%
2000年10月15日	1.574	1.574	1.574	1.574	-5.97%
2000年10月8日	1.674	1.674	1.674	1.674	-2.33%
2000年9月24日	1.714	1.714	1.714	1.714	-1.38%
